Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
flinders,au,-34.58,150.86,99.0,49.0,40.0,9.17
dingzhou,cn,38.51,115.0,26.6,86.0,100.0,4.47
upernavik,gl,72.79,-56.15,-14.24,94.0,100.0,7.61
lebyazhye,ru,55.27,66.49,13.14,93.0,100.0,12.12
ebolowa,cm,2.9,11.15,64.71,44.0,8.0,3.74
ngunguru,nz,-35.62,174.5,84.0,73.0,55.0,7.0
busselton,au,-33.65,115.33,84.0,33.0,97.0,5.23
bengkulu,id,-3.8,102.27,87.44,58.0,100.0,2.1
saskylakh,ru,71.92,114.08,-20.51,93.0,99.0,16.46
nikolskoye,ru,59.7,30.79,30.99,79.0,40.0,4.47
shubarshi,kz,48.59,57.19,31.17,95.0,100.0,22.41
fortuna,us,40.6,-124.16,59.0,87.0,90.0,10.29
kapustin yar,ru,48.58,45.74,33.75,88.0,99.0,19.98
new norfolk,au,-42.78,147.06,72.0,56.0,75.0,11.41
manzhouli,cn,49.6,117.43,2.53,92.0,100.0,3.71
cockburn town,tc,21.46,-71.14,76.39,74.0,0.0,12.33
mataura,pf,,,,,,
lolua,tv,,,,,,
geraldton,au,-28.77,114.6,77.0,69.0,15.0,12.75
narsaq,gl,60.92,-46.05,14.0,66.0,96.0,3.36
teya,ru,60.38,92.63,9.73,86.0,60.0,9.82
saint-philippe,re,-21.36,55.77,73.4,78.0,75.0,9.17
tuktoyaktuk,ca,69.45,-133.04,-13.0,75.0,90.0,23.04
kirakira,sb,-10.45,161.92,84.58,77.0,3.0,7.16
ahipara,nz,-35.17,173.17,69.64,84.0,94.0,15.66
bagdarin,ru,54.43,113.6,4.59,84.0,60.0,1.63
tasiilaq,gl,65.61,-37.64,28.4,74.0,100.0,28.86
chuy,uy,-33.7,-53.46,65.59,80.0,3.0,5.46
morro da fumaca,br,-28.65,-49.21,62.94,91.0,4.0,3.38
faanui,pf,-16.48,-151.75,83.16,72.0,62.0,8.79
cidreira,br,-30.18,-50.21,75.56,68.0,74.0,14.32
hambantota,lk,6.12,81.12,75.2,100.0,40.0,12.75
avarua,ck,-21.21,-159.78,84.2,83.0,100.0,11.41
punta arenas,cl,-53.15,-70.92,50.0,66.0,75.0,23.04
karratha,au,-20.74,116.85,85.62,71.0,0.0,9.53
bereda,so,,,,,,
kavaratti,in,10.57,72.64,80.98,64.0,100.0,2.28
bocaranga,cf,,,,,,
kavieng,pg,-2.57,150.8,84.87,72.0,48.0,11.7
marsh harbour,bs,26.54,-77.06,71.67,79.0,39.0,13.62
jamestown,sh,-15.94,-5.72,74.91,74.0,36.0,13.42
atuona,pf,-9.8,-139.03,80.74,77.0,74.0,13.8
turukhansk,ru,65.82,87.98,1.63,96.0,98.0,5.53
havelock,us,34.88,-76.9,51.8,66.0,1.0,8.05
bluff,nz,-46.6,168.33,66.49,52.0,57.0,8.52
namwala,zm,-15.75,26.44,62.76,98.0,3.0,4.38
talnakh,ru,69.49,88.4,3.2,84.0,75.0,11.18
lompoc,us,34.64,-120.46,66.0,87.0,1.0,8.05
batemans bay,au,-35.72,150.18,91.99,86.0,0.0,3.0
namibe,ao,-15.2,12.15,74.68,74.0,69.0,12.53
belyy yar,ru,53.6,91.39,19.4,92.0,40.0,4.47
barrow,us,71.29,-156.79,-20.2,75.0,90.0,10.29
dingle,ie,52.14,-10.27,49.86,81.0,100.0,21.65
mbekenyera,tz,-10.0,38.98,68.61,97.0,99.0,2.26
barentsburg,sj,,,,,,
port alfred,za,-33.59,26.89,66.99,98.0,80.0,8.01
rikitea,pf,-23.12,-134.97,79.11,77.0,0.0,10.22
muisne,ec,0.6,-80.03,77.32,88.0,100.0,7.78
opuwo,na,-18.06,13.84,66.04,41.0,6.0,4.88
wladyslawowo,pl,54.79,18.4,41.0,93.0,75.0,9.17
hermanus,za,-34.42,19.23,57.99,97.0,83.0,13.0
roald,no,62.58,6.13,46.0,93.0,100.0,23.04
hendaye,fr,43.37,-1.77,50.0,93.0,90.0,3.36
hithadhoo,mv,-0.6,73.08,82.49,77.0,100.0,9.75
granger,us,41.75,-86.13,35.6,86.0,90.0,10.29
amderma,ru,,,,,,
mar del plata,ar,-38.0,-57.56,66.2,55.0,0.0,11.41
ternate,id,0.8,127.4,82.02,75.0,71.0,4.88
barawe,so,,,,,,
belushya guba,ru,,,,,,
broken hill,au,-31.95,141.43,84.2,21.0,0.0,13.87
fengrun,cn,39.83,118.12,33.84,43.0,2.0,0.83
sarahan,in,31.52,77.8,10.38,68.0,0.0,12.21
san juan del sur,ni,11.25,-85.87,80.04,72.0,0.0,31.16
ilam,np,26.92,87.92,44.58,78.0,14.0,2.91
kyzyl-suu,kg,42.34,78.0,25.21,57.0,100.0,6.04
urubamba,pe,-13.3,-72.12,57.2,58.0,40.0,3.49
saint george,bm,32.38,-64.68,66.2,88.0,75.0,6.93
carnarvon,au,-24.87,113.63,80.6,69.0,13.0,19.46
kimbe,pg,-5.55,150.14,84.18,81.0,85.0,3.58
sabang,id,5.89,95.32,82.35,68.0,83.0,12.33
llaillay,cl,-32.85,-70.97,80.6,88.0,20.0,5.82
samusu,ws,,,,,,
vaitupu,wf,,,,,,
guerrero negro,mx,27.98,-114.06,62.11,78.0,0.0,9.37
ust-maya,ru,60.42,134.53,-37.53,94.0,48.0,1.16
ponta do sol,cv,17.2,-25.09,69.8,88.0,73.0,14.99
odessa,us,31.85,-102.37,63.0,23.0,1.0,5.82
krasnoborsk,ru,61.56,45.93,6.57,94.0,100.0,7.65
ambon,id,-3.7,128.18,89.6,62.0,20.0,5.82
nuuk,gl,64.18,-51.72,14.0,78.0,100.0,8.05
uarini,br,-2.99,-65.11,75.79,94.0,100.0,2.68
gobabis,na,-22.45,18.97,72.07,36.0,100.0,9.84
vanavara,ru,60.34,102.28,18.86,80.0,62.0,14.85
caravelas,br,-17.71,-39.25,79.09,84.0,100.0,19.69
palabuhanratu,id,,,,,,
lavrentiya,ru,65.58,-171.0,-13.47,77.0,0.0,3.15
albany,au,-35.02,117.89,66.2,82.0,90.0,4.7
baykit,ru,61.67,96.37,14.97,85.0,100.0,12.57
luderitz,na,-26.65,15.16,68.0,82.0,0.0,10.29
hobart,au,-42.88,147.33,72.0,56.0,75.0,11.41
kuche,cn,,,,,,
busayra,jo,30.74,35.61,36.27,51.0,0.0,1.61
nynashamn,se,58.9,17.95,41.0,86.0,100.0,10.29
micheweni,tz,-4.97,39.83,81.81,83.0,100.0,10.02
qaanaaq,gl,77.48,-69.36,-12.03,43.0,55.0,4.43
cape town,za,-33.93,18.42,60.01,93.0,75.0,9.17
avera,pf,,,,,,
petropavlovsk-kamchatskiy,ru,53.05,158.65,24.8,68.0,40.0,4.47
dikson,ru,73.51,80.55,-5.84,95.0,100.0,5.39
east london,za,-33.02,27.91,73.45,84.0,38.0,20.69
tiksi,ru,71.69,128.87,-28.1,67.0,0.0,5.19
santa cruz,us,36.97,-122.03,63.0,77.0,1.0,11.41
kapaa,us,22.08,-159.32,80.6,74.0,40.0,10.29
